Crop_Year,State,Crop,Season,Area,Temperature,Rainfall,Humidity,Yield
2015,Karnataka,Sugarcane,Whole Year,3673.37,24.2,1047.8,76.7,83491.23
2021,Tamil Nadu,Maize,Rabi,4851.05,29.8,1231.4,75.2,2112.3
2012,Odisha,Potato,Rabi,164.16,22.9,1590.5,74.5,17618.32
2020,Chhattisgarh,Maize,Rabi,2982.45,28.3,1222.7,70.4,2494.68
2020,Maharashtra,Wheat,Rabi,1243.08,31.4,1437.1,67.8,2984.95
2018,Uttar Pradesh,Sugarcane,Whole Year,3329.49,28.5,606.0,57.0,65513.88
2012,Telangana,Wheat,Rabi,4700.52,31.5,1082.3,61.9,2464.61
2021,Punjab,Lentil,Rabi,2954.42,24.2,762.9,54.3,757.61
2007,Gujarat,Rice,Kharif,2145.84,27.1,630.7,65.6,2411.62
2010,Bihar,Cotton,Kharif,1824.41,23.2,1264.9,70.9,436.29
2003,Tamil Nadu,Cotton,Kharif,2976.92,32.1,897.4,80.0,477.36
2005,Haryana,Rice,Kharif,2828.32,25.9,884.7,42.3,2428.25
2019,West Bengal,Sunflower,Kharif,205.57,24.5,1756.4,85.4,697.48
2013,Karnataka,Soyabean,Kharif,2722.21,31.1,1123.6,76.8,1284.17
2006,Chhattisgarh,Jowar,Kharif,2309.85,27.0,1090.2,71.9,1019.66
2007,Karnataka,Sunflower,Kharif,4538.8,29.1,803.3,69.8,723.63
2005,Bihar,Jowar,Rabi,3477.56,24.7,977.4,69.1,852.84
2017,Tamil Nadu,Jowar,Rabi,371.22,28.9,1026.6,84.5,1132.38
2017,Maharashtra,Rice,Kharif,1370.57,28.8,1251.7,69.5,2271.51
2002,Uttar Pradesh,Maize,Rabi,2678.13,32.9,609.0,60.4,1881.95
2017,Tamil Nadu,Mustard,Rabi,3654.67,34.5,939.7,81.5,1601.47
2006,Uttar Pradesh,Jowar,Rabi,3494.27,27.0,1028.6,69.3,806.79
2007,Telangana,Maize,Rabi,913.11,28.7,1182.5,63.3,1954.2
2010,Karnataka,Lentil,Rabi,1326.81,29.6,1079.0,83.2,1258.63
2016,Punjab,Rice,Kharif,4828.83,26.5,722.9,56.4,1885.16
2001,Haryana,Maize,Rabi,3228.06,26.6,777.1,59.0,1568.76
2009,Andhra Pradesh,Maize,Rabi,920.83,32.0,892.5,69.2,1833.96
2003,Tamil Nadu,Soyabean,Kharif,3305.18,28.8,1171.9,69.8,894.79
2006,Chhattisgarh,Chickpea,Rabi,4895.52,30.3,1295.5,62.4,763.72
2001,Uttar Pradesh,Sunflower,Kharif,1016.45,25.6,1046.6,65.3,768.16
