Timestamp,Crop,Season,State,Area (ha),Temp (°C),Rainfall (mm),Humidity (%),Predicted Yield (kg/ha),Total Production (t)
2026-05-04 11:15:24,Rice,Kharif,Uttar Pradesh,500.0,28.0,900.0,65.0,2487.53,1243.76
2026-05-04 11:16:52,Sugarcane,Rabi,Uttar Pradesh,750.0,28.0,570.0,74.0,31950.41,23962.81
2026-05-04 11:17:07,Sugarcane,Rabi,Uttar Pradesh,900.0,28.0,570.0,74.0,32319.0,29087.1
2026-05-04 11:52:01,Rice,Kharif,Uttar Pradesh,350.0,18.5,900.0,65.0,2380.17,833.06
2026-05-04 11:52:08,Rice,Kharif,Uttar Pradesh,350.0,18.5,900.0,65.0,2380.17,833.06
2026-05-04 11:52:37,Rice,Kharif,Uttar Pradesh,350.0,15.0,900.0,31.0,2121.48,742.52
2026-05-04 21:08:21,Rice,Kharif,Uttar Pradesh,500.0,28.0,900.0,65.0,2487.53,1243.76
2026-05-04 21:11:36,Rice,Kharif,Uttar Pradesh,500.0,28.0,900.0,65.0,2487.53,1243.76
2026-05-04 21:11:53,Rice,Kharif,Uttar Pradesh,500.0,14.5,900.0,65.0,2393.39,1196.69
2026-05-04 21:15:49,Rice,Kharif,Uttar Pradesh,500.0,14.5,900.0,65.0,2393.39,1196.69
2026-05-04 21:36:38,Rice,Kharif,Uttar Pradesh,500.0,28.0,900.0,65.0,2487.53,1243.76
2026-05-04 21:36:38,Rice,Kharif,Uttar Pradesh,500.0,28.0,900.0,65.0,2487.53,1243.76
2026-05-04 21:39:06,Rice,Kharif,Uttar Pradesh,500.0,17.5,900.0,65.0,2447.06,1223.53
2026-05-04 21:40:06,Rice,Kharif,Uttar Pradesh,500.0,28.0,900.0,65.0,2487.53,1243.76
2026-05-04 21:40:07,Rice,Kharif,Uttar Pradesh,500.0,28.0,900.0,65.0,2487.53,1243.76
2026-05-04 21:40:23,Rice,Kharif,Uttar Pradesh,500.0,28.0,900.0,65.0,2487.53,1243.76
2026-05-04 22:02:22,Rice,Kharif,Uttar Pradesh,650.0,30.0,900.0,65.0,2616.65,1700.82
2026-05-04 22:07:32,Rice,Kharif,Uttar Pradesh,650.0,30.0,550.0,32.0,1887.81,1227.08
2026-05-04 22:09:15,Rice,Kharif,Uttar Pradesh,500.0,28.0,900.0,65.0,2487.53,1243.76
2026-05-04 22:11:00,Rice,Kharif,Uttar Pradesh,600.0,31.5,900.0,65.0,2575.28,1545.17
2026-05-04 22:13:10,Rice,Kharif,Uttar Pradesh,500.0,28.0,900.0,65.0,2487.53,1243.76
2026-05-04 22:30:09,Rice,Kharif,Uttar Pradesh,500.0,28.0,900.0,65.0,2487.53,1243.76
2026-05-04 22:34:24,Rice,Kharif,Uttar Pradesh,500.0,28.0,900.0,65.0,2487.53,1243.76
2026-05-04 22:34:37,Rice,Kharif,Uttar Pradesh,500.0,28.0,900.0,65.0,2487.53,1243.76
2026-05-04 22:34:48,Rice,Kharif,Uttar Pradesh,650.0,18.0,900.0,65.0,2417.69,1571.5
2026-05-04 23:24:21,Rice,Kharif,Uttar Pradesh,500.0,28.0,900.0,65.0,1936.29,968.15
